Text name: ../res/res_CN_cosexp_oRate30_var1.0e-06.txt
[0/20000] loss:0.883(gmm:0.880+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/20000] loss:-0.005(gmm:-0.008+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/20000] loss:-0.114(gmm:-0.118+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/20000] loss:-0.251(gmm:-0.254+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1600/20000] loss:-0.241(gmm:-0.245+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/20000] loss:-0.317(gmm:-0.321+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2400/20000] loss:-0.458(gmm:-0.462+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2800/20000] loss:-0.427(gmm:-0.430+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3200/20000] loss:-0.532(gmm:-0.535+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[3600/20000] loss:-0.468(gmm:-0.472+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4000/20000] loss:-0.520(gmm:-0.524+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4400/20000] loss:-0.491(gmm:-0.495+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4800/20000] loss:-0.573(gmm:-0.577+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5200/20000] loss:-0.548(gmm:-0.552+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5600/20000] loss:-0.584(gmm:-0.588+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6000/20000] loss:-0.487(gmm:-0.490+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6400/20000] loss:-0.497(gmm:-0.501+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6800/20000] loss:-0.522(gmm:-0.526+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7200/20000] loss:-0.440(gmm:-0.444+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7600/20000] loss:-0.609(gmm:-0.613+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8000/20000] loss:-0.463(gmm:-0.467+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8400/20000] loss:-0.593(gmm:-0.597+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8800/20000] loss:-0.477(gmm:-0.481+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[9200/20000] loss:-0.643(gmm:-0.647+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[9600/20000] loss:-0.555(gmm:-0.559+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[10000/20000] loss:-0.557(gmm:-0.561+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.564
[10400/20000] loss:-0.658(gmm:-0.663+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.679
[10800/20000] loss:-0.650(gmm:-0.654+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.679
[11200/20000] loss:-0.643(gmm:-0.647+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.679
[11600/20000] loss:-0.671(gmm:-0.676+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.679
[12000/20000] loss:-0.646(gmm:-0.650+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.679
