Text name: ../res/res_CN_cosexp_oRate60_var1.0e-01_tau_inv1.txt
[0/30000] loss:0.697(gmm:0.697+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.628(gmm:0.628+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.657(gmm:0.657+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.615(gmm:0.615+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.599(gmm:0.599+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.593(gmm:0.593+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.590(gmm:0.590+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.592(gmm:0.591+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.579(gmm:0.579+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.600(gmm:0.600+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.576(gmm:0.576+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.589(gmm:0.589+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.574(gmm:0.574+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.593(gmm:0.592+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.579(gmm:0.578+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.587(gmm:0.587+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.572(gmm:0.572+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.581(gmm:0.580+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.573(gmm:0.573+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.587(gmm:0.587+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.563(gmm:0.563+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.572(gmm:0.572+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.573(gmm:0.573+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.567(gmm:0.567+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.583(gmm:0.582+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.569(gmm:0.568+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.572
[15600/30000] loss:0.562(gmm:0.562+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.559
[16200/30000] loss:0.566(gmm:0.566+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.559
[16800/30000] loss:0.556(gmm:0.556+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.559
[17400/30000] loss:0.561(gmm:0.561+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.557
[18000/30000] loss:0.562(gmm:0.561+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.557
[18600/30000] loss:0.557(gmm:0.557+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.557
[19200/30000] loss:0.563(gmm:0.563+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.557
[19800/30000] loss:0.557(gmm:0.557+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.557
[20400/30000] loss:0.557(gmm:0.557+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.557
[21000/30000] loss:0.562(gmm:0.562+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[21600/30000] loss:0.560(gmm:0.560+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[22200/30000] loss:0.564(gmm:0.564+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[22800/30000] loss:0.555(gmm:0.554+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[23400/30000] loss:0.554(gmm:0.553+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[24000/30000] loss:0.556(gmm:0.556+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[24600/30000] loss:0.558(gmm:0.557+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[25200/30000] loss:0.560(gmm:0.560+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.556
[25800/30000] loss:0.562(gmm:0.562+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[26400/30000] loss:0.563(gmm:0.562+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[27000/30000] loss:0.557(gmm:0.557+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[27600/30000] loss:0.561(gmm:0.561+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[28200/30000] loss:0.555(gmm:0.555+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[28800/30000] loss:0.556(gmm:0.556+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[29400/30000] loss:0.556(gmm:0.556+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[29999/30000] loss:0.559(gmm:0.558+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
[30000/30000] loss:0.555(gmm:0.555+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.550
