Text name: ../res/res_CN_cosexp_oRate60_var1.0e-01_tau_inv1e-06.txt
[0/30000] loss:0.840(gmm:0.840+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.588(gmm:0.588+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.586(gmm:0.586+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.548(gmm:0.548+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.592(gmm:0.592+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.553(gmm:0.552+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.508(gmm:0.508+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.525(gmm:0.525+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.479(gmm:0.479+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.484(gmm:0.484+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.472(gmm:0.472+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.523(gmm:0.523+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.503(gmm:0.502+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.573(gmm:0.572+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.481(gmm:0.481+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.481(gmm:0.481+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.501(gmm:0.501+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.468(gmm:0.468+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.468(gmm:0.468+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.470(gmm:0.470+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.454(gmm:0.454+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.502(gmm:0.502+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.569(gmm:0.569+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.482(gmm:0.481+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.444(gmm:0.444+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.560(gmm:0.560+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.566
[15600/30000] loss:0.414(gmm:0.414+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.441
[16200/30000] loss:0.436(gmm:0.436+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[16800/30000] loss:0.429(gmm:0.429+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[17400/30000] loss:0.444(gmm:0.443+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[18000/30000] loss:0.415(gmm:0.415+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[18600/30000] loss:0.439(gmm:0.439+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[19200/30000] loss:0.433(gmm:0.432+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[19800/30000] loss:0.428(gmm:0.428+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[20400/30000] loss:0.435(gmm:0.434+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[21000/30000] loss:0.429(gmm:0.429+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[21600/30000] loss:0.425(gmm:0.425+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[22200/30000] loss:0.423(gmm:0.423+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.415
[22800/30000] loss:0.436(gmm:0.436+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[23400/30000] loss:0.413(gmm:0.412+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[24000/30000] loss:0.434(gmm:0.434+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[24600/30000] loss:0.428(gmm:0.428+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[25200/30000] loss:0.430(gmm:0.430+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[25800/30000] loss:0.417(gmm:0.417+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[26400/30000] loss:0.431(gmm:0.430+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[27000/30000] loss:0.417(gmm:0.416+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[27600/30000] loss:0.432(gmm:0.432+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[28200/30000] loss:0.439(gmm:0.439+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[28800/30000] loss:0.432(gmm:0.432+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[29400/30000] loss:0.427(gmm:0.426+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[29999/30000] loss:0.428(gmm:0.428+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
[30000/30000] loss:0.445(gmm:0.445+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.406
