Text name: ../res/res_CN_cosexp_oRate60_var1.0e-06_kmix10.txt
[0/30000] loss:0.795(gmm:0.794+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.409(gmm:0.409+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.393(gmm:0.392+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.388(gmm:0.388+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.346(gmm:0.346+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.295(gmm:0.295+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.281(gmm:0.281+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.283(gmm:0.282+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.301(gmm:0.301+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.279(gmm:0.279+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.257(gmm:0.257+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.286(gmm:0.285+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.254(gmm:0.254+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.258(gmm:0.258+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.270(gmm:0.269+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.285(gmm:0.285+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.275(gmm:0.275+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.254(gmm:0.254+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.227(gmm:0.227+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.245(gmm:0.245+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.257(gmm:0.256+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.245(gmm:0.245+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.219(gmm:0.218+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.287(gmm:0.287+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.270(gmm:0.269+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.227(gmm:0.227+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.221
[15600/30000] loss:0.203(gmm:0.203+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.221
[16200/30000] loss:0.263(gmm:0.263+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.221
[16800/30000] loss:0.218(gmm:0.218+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.221
[17400/30000] loss:0.238(gmm:0.238+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.221
[18000/30000] loss:0.244(gmm:0.244+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.221
[18600/30000] loss:0.235(gmm:0.234+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.221
[19200/30000] loss:0.237(gmm:0.237+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.213
[19800/30000] loss:0.218(gmm:0.217+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.213
[20400/30000] loss:0.247(gmm:0.247+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.213
[21000/30000] loss:0.195(gmm:0.195+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.209
[21600/30000] loss:0.237(gmm:0.237+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.209
[22200/30000] loss:0.251(gmm:0.250+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.209
[22800/30000] loss:0.205(gmm:0.204+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.209
[23400/30000] loss:0.227(gmm:0.227+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.206
[24000/30000] loss:0.230(gmm:0.230+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.206
[24600/30000] loss:0.229(gmm:0.229+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.206
[25200/30000] loss:0.230(gmm:0.229+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.192
[25800/30000] loss:0.222(gmm:0.222+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.192
[26400/30000] loss:0.219(gmm:0.219+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.192
[27000/30000] loss:0.260(gmm:0.260+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.192
[27600/30000] loss:0.257(gmm:0.256+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.192
[28200/30000] loss:0.242(gmm:0.241+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.192
[28800/30000] loss:0.205(gmm:0.205+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.192
[29400/30000] loss:0.202(gmm:0.202+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.191
[29999/30000] loss:0.245(gmm:0.244+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.191
[30000/30000] loss:0.220(gmm:0.220+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.191
