Text name: ../res/res_CN_linear_oRate0_var1.0e-06.txt
[0/20000] loss:0.206(gmm:0.203+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/20000] loss:-0.816(gmm:-0.819+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/20000] loss:-1.079(gmm:-1.083+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/20000] loss:-1.266(gmm:-1.269+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[1600/20000] loss:-1.623(gmm:-1.627+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2000/20000] loss:-1.707(gmm:-1.711+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2400/20000] loss:-1.680(gmm:-1.685+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2800/20000] loss:-1.637(gmm:-1.642+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3200/20000] loss:-1.659(gmm:-1.664+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3600/20000] loss:-1.655(gmm:-1.660+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4000/20000] loss:-1.710(gmm:-1.714+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4400/20000] loss:-1.659(gmm:-1.664+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4800/20000] loss:-1.610(gmm:-1.615+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5200/20000] loss:-1.719(gmm:-1.724+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5600/20000] loss:-1.699(gmm:-1.704+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6000/20000] loss:-1.756(gmm:-1.761+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6400/20000] loss:-1.693(gmm:-1.697+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[6800/20000] loss:-1.720(gmm:-1.724+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7200/20000] loss:-1.845(gmm:-1.850+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[7600/20000] loss:-1.703(gmm:-1.707+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8000/20000] loss:-1.757(gmm:-1.762+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8400/20000] loss:-1.763(gmm:-1.767+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8800/20000] loss:-1.714(gmm:-1.719+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[9200/20000] loss:-1.743(gmm:-1.747+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[9600/20000] loss:-1.690(gmm:-1.694+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[10000/20000] loss:-1.747(gmm:-1.751+kl:0.000+l2:0.004+fit:0.000) bestLoss:-1.754
[10400/20000] loss:-1.963(gmm:-1.968+kl:0.000+l2:0.004+fit:0.000) bestLoss:-1.964
[10800/20000] loss:-1.976(gmm:-1.981+kl:0.000+l2:0.004+fit:0.000) bestLoss:-1.976
[11200/20000] loss:-1.982(gmm:-1.987+kl:0.000+l2:0.004+fit:0.000) bestLoss:-1.982
[11600/20000] loss:-1.986(gmm:-1.991+kl:0.000+l2:0.004+fit:0.000) bestLoss:-1.986
[12000/20000] loss:-1.989(gmm:-1.993+kl:0.000+l2:0.004+fit:0.000) bestLoss:-1.988
[12400/20000] loss:-1.992(gmm:-1.997+kl:0.000+l2:0.004+fit:0.000) bestLoss:-1.992
[12800/20000] loss:-2.020(gmm:-2.025+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.021
[13200/20000] loss:-1.971(gmm:-1.976+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[13600/20000] loss:-1.981(gmm:-1.985+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[14000/20000] loss:-2.005(gmm:-2.010+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[14400/20000] loss:-1.992(gmm:-1.997+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[14800/20000] loss:-2.013(gmm:-2.018+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[15200/20000] loss:-2.020(gmm:-2.025+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[15600/20000] loss:-2.023(gmm:-2.028+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[16000/20000] loss:-2.025(gmm:-2.030+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[16400/20000] loss:-2.030(gmm:-2.034+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[16800/20000] loss:-2.027(gmm:-2.032+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
[17200/20000] loss:-2.025(gmm:-2.029+kl:0.000+l2:0.004+fit:0.000) bestLoss:-2.031
