Text name: ../res/res_CN_step_oRate30_var1.0e-06.txt
[0/10000] loss:0.995(gmm:0.992+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[200/10000] loss:0.598(gmm:0.595+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[400/10000] loss:0.422(gmm:0.419+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[600/10000] loss:0.471(gmm:0.468+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[800/10000] loss:0.431(gmm:0.427+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1000/10000] loss:0.248(gmm:0.245+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1200/10000] loss:0.194(gmm:0.190+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1400/10000] loss:0.289(gmm:0.286+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1600/10000] loss:0.203(gmm:0.200+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[1800/10000] loss:0.132(gmm:0.129+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/10000] loss:0.082(gmm:0.078+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2200/10000] loss:0.170(gmm:0.167+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2400/10000] loss:0.408(gmm:0.404+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2600/10000] loss:0.062(gmm:0.059+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[2800/10000] loss:0.136(gmm:0.132+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3000/10000] loss:-0.020(gmm:-0.024+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3200/10000] loss:0.112(gmm:0.108+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3400/10000] loss:0.122(gmm:0.118+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3600/10000] loss:0.075(gmm:0.071+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[3800/10000] loss:0.140(gmm:0.136+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4000/10000] loss:0.068(gmm:0.063+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4200/10000] loss:0.007(gmm:0.003+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4400/10000] loss:0.179(gmm:0.175+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4600/10000] loss:-0.013(gmm:-0.018+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[4800/10000] loss:0.203(gmm:0.198+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[5000/10000] loss:-0.186(gmm:-0.190+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.188
[5200/10000] loss:-0.468(gmm:-0.472+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.480
[5400/10000] loss:-0.484(gmm:-0.488+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.517
[5600/10000] loss:-0.497(gmm:-0.501+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.517
[5800/10000] loss:-0.567(gmm:-0.572+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.560
[6000/10000] loss:-0.550(gmm:-0.555+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.573
[6200/10000] loss:-0.600(gmm:-0.604+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.633
[6400/10000] loss:-0.585(gmm:-0.590+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.633
[6600/10000] loss:-0.596(gmm:-0.600+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.633
[6800/10000] loss:-0.407(gmm:-0.412+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.633
[7000/10000] loss:-0.635(gmm:-0.639+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.635
[7200/10000] loss:-0.671(gmm:-0.675+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.654
[7400/10000] loss:-0.465(gmm:-0.469+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.654
[7600/10000] loss:-0.666(gmm:-0.671+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.688
[7800/10000] loss:-0.677(gmm:-0.682+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.700
[8000/10000] loss:-0.667(gmm:-0.672+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.700
[8200/10000] loss:-0.675(gmm:-0.680+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.700
[8400/10000] loss:-0.692(gmm:-0.696+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.700
[8600/10000] loss:-0.669(gmm:-0.674+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.700
[8800/10000] loss:-0.683(gmm:-0.687+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.700
[9000/10000] loss:-0.685(gmm:-0.690+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.703
[9200/10000] loss:-0.694(gmm:-0.698+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.706
[9400/10000] loss:-0.680(gmm:-0.684+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.706
[9600/10000] loss:-0.671(gmm:-0.675+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.706
[9800/10000] loss:-0.683(gmm:-0.688+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.706
[9999/10000] loss:-0.669(gmm:-0.673+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.706
[10000/10000] loss:-0.686(gmm:-0.691+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.706
