Text name: ../res/res_MDN_cosexp_oRate30_var1.0e-06.txt
[0/20000] loss:2.622(gmm:2.621+l2:0.001) bestLoss:inf
[400/20000] loss:1.185(gmm:1.184+l2:0.001) bestLoss:1.185
[800/20000] loss:1.176(gmm:1.175+l2:0.001) bestLoss:1.172
[1200/20000] loss:1.181(gmm:1.180+l2:0.001) bestLoss:1.169
[1600/20000] loss:1.342(gmm:1.341+l2:0.001) bestLoss:1.159
[2000/20000] loss:1.137(gmm:1.136+l2:0.001) bestLoss:1.137
[2400/20000] loss:1.123(gmm:1.123+l2:0.001) bestLoss:1.123
[2800/20000] loss:1.119(gmm:1.118+l2:0.001) bestLoss:1.119
[3200/20000] loss:1.121(gmm:1.120+l2:0.001) bestLoss:1.112
[3600/20000] loss:1.111(gmm:1.110+l2:0.001) bestLoss:1.111
[4000/20000] loss:1.106(gmm:1.105+l2:0.001) bestLoss:1.106
[4400/20000] loss:1.107(gmm:1.106+l2:0.001) bestLoss:1.106
[4800/20000] loss:1.107(gmm:1.106+l2:0.001) bestLoss:1.106
[5200/20000] loss:1.105(gmm:1.105+l2:0.001) bestLoss:1.105
[5600/20000] loss:1.106(gmm:1.105+l2:0.001) bestLoss:1.105
[6000/20000] loss:1.108(gmm:1.108+l2:0.001) bestLoss:1.094
[6400/20000] loss:1.094(gmm:1.093+l2:0.001) bestLoss:1.094
[6800/20000] loss:1.099(gmm:1.098+l2:0.001) bestLoss:1.094
[7200/20000] loss:1.091(gmm:1.090+l2:0.001) bestLoss:1.091
[7600/20000] loss:1.085(gmm:1.084+l2:0.001) bestLoss:1.085
[8000/20000] loss:1.093(gmm:1.092+l2:0.001) bestLoss:1.085
[8400/20000] loss:1.095(gmm:1.094+l2:0.001) bestLoss:1.085
[8800/20000] loss:1.082(gmm:1.081+l2:0.001) bestLoss:1.082
[9200/20000] loss:1.082(gmm:1.081+l2:0.001) bestLoss:1.082
[9600/20000] loss:1.087(gmm:1.086+l2:0.001) bestLoss:1.082
[10000/20000] loss:1.075(gmm:1.074+l2:0.001) bestLoss:1.075
[10400/20000] loss:1.063(gmm:1.062+l2:0.001) bestLoss:1.063
[10800/20000] loss:1.070(gmm:1.069+l2:0.001) bestLoss:1.063
[11200/20000] loss:1.062(gmm:1.061+l2:0.001) bestLoss:1.062
[11600/20000] loss:1.063(gmm:1.062+l2:0.001) bestLoss:1.062
[12000/20000] loss:1.072(gmm:1.071+l2:0.001) bestLoss:1.062
[12400/20000] loss:1.061(gmm:1.060+l2:0.001) bestLoss:1.061
[12800/20000] loss:1.060(gmm:1.059+l2:0.001) bestLoss:1.060
[13200/20000] loss:1.060(gmm:1.059+l2:0.001) bestLoss:1.060
[13600/20000] loss:1.069(gmm:1.068+l2:0.001) bestLoss:1.060
[14000/20000] loss:1.057(gmm:1.056+l2:0.001) bestLoss:1.057
[14400/20000] loss:1.068(gmm:1.067+l2:0.001) bestLoss:1.057
[14800/20000] loss:1.057(gmm:1.056+l2:0.001) bestLoss:1.057
[15200/20000] loss:1.053(gmm:1.052+l2:0.001) bestLoss:1.053
[15600/20000] loss:1.053(gmm:1.052+l2:0.001) bestLoss:1.050
[16000/20000] loss:1.051(gmm:1.050+l2:0.001) bestLoss:1.050
[16400/20000] loss:1.050(gmm:1.049+l2:0.001) bestLoss:1.050
[16800/20000] loss:1.055(gmm:1.054+l2:0.001) bestLoss:1.050
[17200/20000] loss:1.052(gmm:1.051+l2:0.001) bestLoss:1.050
[17600/20000] loss:1.050(gmm:1.049+l2:0.001) bestLoss:1.050
[18000/20000] loss:1.053(gmm:1.052+l2:0.001) bestLoss:1.050
[18400/20000] loss:1.052(gmm:1.051+l2:0.001) bestLoss:1.050
[18800/20000] loss:1.058(gmm:1.057+l2:0.001) bestLoss:1.050
[19200/20000] loss:1.059(gmm:1.058+l2:0.001) bestLoss:1.050
[19600/20000] loss:1.053(gmm:1.052+l2:0.001) bestLoss:1.050
[19999/20000] loss:1.058(gmm:1.057+l2:0.001) bestLoss:1.050
[20000/20000] loss:1.053(gmm:1.052+l2:0.001) bestLoss:1.050
