Text name: ../res/res_MDN_linear_oRate30_var1.0e-06.txt
[0/30000] loss:2.483(gmm:2.482+l2:0.001) bestLoss:inf
[600/30000] loss:1.184(gmm:1.182+l2:0.001) bestLoss:1.184
[1200/30000] loss:1.180(gmm:1.179+l2:0.001) bestLoss:1.173
[1800/30000] loss:1.167(gmm:1.166+l2:0.001) bestLoss:1.167
[2400/30000] loss:1.160(gmm:1.159+l2:0.001) bestLoss:1.158
[3000/30000] loss:1.155(gmm:1.154+l2:0.001) bestLoss:1.155
[3600/30000] loss:1.147(gmm:1.145+l2:0.001) bestLoss:1.147
[4200/30000] loss:1.148(gmm:1.146+l2:0.001) bestLoss:1.147
[4800/30000] loss:1.136(gmm:1.135+l2:0.001) bestLoss:1.136
[5400/30000] loss:1.133(gmm:1.132+l2:0.001) bestLoss:1.133
[6000/30000] loss:1.136(gmm:1.135+l2:0.001) bestLoss:1.133
[6600/30000] loss:1.141(gmm:1.140+l2:0.001) bestLoss:1.133
[7200/30000] loss:1.135(gmm:1.134+l2:0.001) bestLoss:1.124
[7800/30000] loss:1.134(gmm:1.133+l2:0.001) bestLoss:1.124
[8400/30000] loss:1.129(gmm:1.128+l2:0.001) bestLoss:1.124
[9000/30000] loss:1.118(gmm:1.117+l2:0.001) bestLoss:1.118
[9600/30000] loss:1.129(gmm:1.128+l2:0.001) bestLoss:1.117
[10200/30000] loss:1.120(gmm:1.119+l2:0.001) bestLoss:1.117
[10800/30000] loss:1.129(gmm:1.127+l2:0.001) bestLoss:1.117
[11400/30000] loss:1.123(gmm:1.122+l2:0.001) bestLoss:1.117
[12000/30000] loss:1.111(gmm:1.110+l2:0.001) bestLoss:1.111
[12600/30000] loss:1.109(gmm:1.108+l2:0.001) bestLoss:1.109
[13200/30000] loss:1.124(gmm:1.122+l2:0.001) bestLoss:1.109
[13800/30000] loss:1.184(gmm:1.183+l2:0.001) bestLoss:1.109
[14400/30000] loss:1.112(gmm:1.110+l2:0.001) bestLoss:1.105
[15000/30000] loss:1.101(gmm:1.099+l2:0.001) bestLoss:1.101
[15600/30000] loss:1.090(gmm:1.088+l2:0.001) bestLoss:1.090
[16200/30000] loss:1.090(gmm:1.088+l2:0.001) bestLoss:1.086
[16800/30000] loss:1.094(gmm:1.092+l2:0.001) bestLoss:1.086
[17400/30000] loss:1.093(gmm:1.092+l2:0.001) bestLoss:1.086
[18000/30000] loss:1.093(gmm:1.092+l2:0.001) bestLoss:1.086
[18600/30000] loss:1.092(gmm:1.090+l2:0.001) bestLoss:1.086
[19200/30000] loss:1.101(gmm:1.099+l2:0.001) bestLoss:1.086
[19800/30000] loss:1.088(gmm:1.086+l2:0.001) bestLoss:1.086
[20400/30000] loss:1.092(gmm:1.090+l2:0.001) bestLoss:1.086
[21000/30000] loss:1.092(gmm:1.090+l2:0.001) bestLoss:1.086
[21600/30000] loss:1.092(gmm:1.090+l2:0.001) bestLoss:1.086
[22200/30000] loss:1.089(gmm:1.088+l2:0.001) bestLoss:1.086
[22800/30000] loss:1.082(gmm:1.081+l2:0.001) bestLoss:1.082
[23400/30000] loss:1.084(gmm:1.083+l2:0.001) bestLoss:1.081
[24000/30000] loss:1.084(gmm:1.082+l2:0.001) bestLoss:1.081
[24600/30000] loss:1.083(gmm:1.081+l2:0.001) bestLoss:1.081
[25200/30000] loss:1.081(gmm:1.080+l2:0.001) bestLoss:1.081
[25800/30000] loss:1.084(gmm:1.082+l2:0.001) bestLoss:1.081
[26400/30000] loss:1.084(gmm:1.083+l2:0.001) bestLoss:1.081
[27000/30000] loss:1.084(gmm:1.082+l2:0.001) bestLoss:1.081
[27600/30000] loss:1.078(gmm:1.076+l2:0.001) bestLoss:1.078
[28200/30000] loss:1.082(gmm:1.081+l2:0.001) bestLoss:1.078
[28800/30000] loss:1.082(gmm:1.081+l2:0.001) bestLoss:1.078
[29400/30000] loss:1.080(gmm:1.079+l2:0.001) bestLoss:1.078
[29999/30000] loss:1.078(gmm:1.077+l2:0.001) bestLoss:1.078
[30000/30000] loss:1.081(gmm:1.079+l2:0.001) bestLoss:1.078
