Text name: ../res/res_MDN_step_oRate0_var1.0e-06.txt
[0/10000] loss:7.683(gmm:7.681+l2:0.001) bestLoss:inf
[200/10000] loss:0.727(gmm:0.725+l2:0.001) bestLoss:0.727
[400/10000] loss:0.691(gmm:0.689+l2:0.001) bestLoss:0.691
[600/10000] loss:0.672(gmm:0.671+l2:0.001) bestLoss:0.672
[800/10000] loss:0.657(gmm:0.656+l2:0.001) bestLoss:0.657
[1000/10000] loss:0.654(gmm:0.652+l2:0.001) bestLoss:0.653
[1200/10000] loss:0.645(gmm:0.643+l2:0.001) bestLoss:0.645
[1400/10000] loss:0.636(gmm:0.635+l2:0.001) bestLoss:0.636
[1600/10000] loss:0.634(gmm:0.633+l2:0.001) bestLoss:0.634
[1800/10000] loss:0.639(gmm:0.638+l2:0.001) bestLoss:0.631
[2000/10000] loss:0.624(gmm:0.623+l2:0.001) bestLoss:0.624
[2200/10000] loss:0.626(gmm:0.625+l2:0.001) bestLoss:0.624
[2400/10000] loss:0.620(gmm:0.619+l2:0.001) bestLoss:0.620
[2600/10000] loss:0.625(gmm:0.623+l2:0.001) bestLoss:0.620
[2800/10000] loss:0.622(gmm:0.621+l2:0.001) bestLoss:0.618
[3000/10000] loss:0.625(gmm:0.624+l2:0.001) bestLoss:0.618
[3200/10000] loss:0.622(gmm:0.621+l2:0.001) bestLoss:0.618
[3400/10000] loss:0.611(gmm:0.609+l2:0.001) bestLoss:0.611
[3600/10000] loss:0.613(gmm:0.611+l2:0.001) bestLoss:0.611
[3800/10000] loss:0.618(gmm:0.616+l2:0.001) bestLoss:0.611
[4000/10000] loss:0.617(gmm:0.615+l2:0.001) bestLoss:0.611
[4200/10000] loss:0.612(gmm:0.610+l2:0.002) bestLoss:0.611
[4400/10000] loss:0.607(gmm:0.605+l2:0.002) bestLoss:0.607
[4600/10000] loss:0.616(gmm:0.615+l2:0.002) bestLoss:0.607
[4800/10000] loss:0.620(gmm:0.618+l2:0.002) bestLoss:0.605
[5000/10000] loss:0.606(gmm:0.604+l2:0.002) bestLoss:0.605
[5200/10000] loss:0.599(gmm:0.597+l2:0.002) bestLoss:0.599
[5400/10000] loss:0.598(gmm:0.596+l2:0.002) bestLoss:0.598
[5600/10000] loss:0.597(gmm:0.595+l2:0.002) bestLoss:0.597
[5800/10000] loss:0.596(gmm:0.595+l2:0.002) bestLoss:0.596
[6000/10000] loss:0.598(gmm:0.597+l2:0.002) bestLoss:0.596
[6200/10000] loss:0.597(gmm:0.595+l2:0.002) bestLoss:0.596
[6400/10000] loss:0.596(gmm:0.595+l2:0.002) bestLoss:0.596
[6600/10000] loss:0.597(gmm:0.595+l2:0.002) bestLoss:0.596
[6800/10000] loss:0.597(gmm:0.595+l2:0.002) bestLoss:0.596
[7000/10000] loss:0.596(gmm:0.595+l2:0.002) bestLoss:0.596
[7200/10000] loss:0.595(gmm:0.594+l2:0.002) bestLoss:0.595
[7400/10000] loss:0.597(gmm:0.595+l2:0.002) bestLoss:0.595
[7600/10000] loss:0.594(gmm:0.593+l2:0.002) bestLoss:0.594
[7800/10000] loss:0.595(gmm:0.593+l2:0.002) bestLoss:0.594
[8000/10000] loss:0.595(gmm:0.593+l2:0.002) bestLoss:0.594
[8200/10000] loss:0.595(gmm:0.593+l2:0.002) bestLoss:0.594
[8400/10000] loss:0.595(gmm:0.594+l2:0.002) bestLoss:0.594
[8600/10000] loss:0.596(gmm:0.594+l2:0.002) bestLoss:0.594
[8800/10000] loss:0.594(gmm:0.593+l2:0.002) bestLoss:0.594
[9000/10000] loss:0.595(gmm:0.593+l2:0.002) bestLoss:0.594
[9200/10000] loss:0.596(gmm:0.594+l2:0.002) bestLoss:0.594
[9400/10000] loss:0.594(gmm:0.593+l2:0.002) bestLoss:0.594
[9600/10000] loss:0.595(gmm:0.593+l2:0.002) bestLoss:0.594
[9800/10000] loss:0.595(gmm:0.593+l2:0.002) bestLoss:0.594
[9999/10000] loss:0.594(gmm:0.592+l2:0.002) bestLoss:0.594
[10000/10000] loss:0.594(gmm:0.592+l2:0.002) bestLoss:0.594
