Text name: ../res/res_MLP_cosexp_oRate50_var1.0e-06.txt
[0/30000] loss:1.151(fit:1.151+l2:0.000) bestLoss:inf
[600/30000] loss:1.070(fit:1.070+l2:0.000) bestLoss:1.070
[1200/30000] loss:1.066(fit:1.066+l2:0.000) bestLoss:1.066
[1800/30000] loss:1.045(fit:1.045+l2:0.000) bestLoss:1.045
[2400/30000] loss:1.042(fit:1.042+l2:0.000) bestLoss:1.042
[3000/30000] loss:1.040(fit:1.040+l2:0.000) bestLoss:1.040
[3600/30000] loss:1.036(fit:1.036+l2:0.000) bestLoss:1.036
[4200/30000] loss:1.035(fit:1.035+l2:0.000) bestLoss:1.035
[4800/30000] loss:1.035(fit:1.035+l2:0.000) bestLoss:1.035
[5400/30000] loss:1.034(fit:1.034+l2:0.000) bestLoss:1.034
[6000/30000] loss:1.034(fit:1.034+l2:0.000) bestLoss:1.034
[6600/30000] loss:1.034(fit:1.034+l2:0.000) bestLoss:1.034
[7200/30000] loss:1.034(fit:1.034+l2:0.000) bestLoss:1.034
[7800/30000] loss:1.034(fit:1.034+l2:0.000) bestLoss:1.034
[8400/30000] loss:1.033(fit:1.033+l2:0.000) bestLoss:1.033
[9000/30000] loss:1.033(fit:1.033+l2:0.000) bestLoss:1.033
[9600/30000] loss:1.032(fit:1.032+l2:0.000) bestLoss:1.032
[10200/30000] loss:1.031(fit:1.031+l2:0.000) bestLoss:1.031
[10800/30000] loss:1.031(fit:1.031+l2:0.000) bestLoss:1.031
[11400/30000] loss:1.032(fit:1.032+l2:0.000) bestLoss:1.030
[12000/30000] loss:1.028(fit:1.028+l2:0.000) bestLoss:1.028
[12600/30000] loss:1.028(fit:1.028+l2:0.000) bestLoss:1.028
[13200/30000] loss:1.027(fit:1.026+l2:0.000) bestLoss:1.027
[13800/30000] loss:1.027(fit:1.027+l2:0.000) bestLoss:1.027
[14400/30000] loss:1.026(fit:1.026+l2:0.000) bestLoss:1.026
[15000/30000] loss:1.025(fit:1.025+l2:0.000) bestLoss:1.025
[15600/30000] loss:1.025(fit:1.025+l2:0.000) bestLoss:1.025
[16200/30000] loss:1.025(fit:1.025+l2:0.000) bestLoss:1.025
[16800/30000] loss:1.025(fit:1.025+l2:0.000) bestLoss:1.025
[17400/30000] loss:1.025(fit:1.025+l2:0.000) bestLoss:1.025
[18000/30000] loss:1.025(fit:1.024+l2:0.000) bestLoss:1.025
[18600/30000] loss:1.025(fit:1.025+l2:0.000) bestLoss:1.024
[19200/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[19800/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[20400/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[21000/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[21600/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[22200/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[22800/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[23400/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[24000/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[24600/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[25200/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[25800/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[26400/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[27000/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[27600/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[28200/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[28800/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[29400/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
[29999/30000] loss:1.024(fit:1.023+l2:0.000) bestLoss:1.024
[30000/30000] loss:1.024(fit:1.024+l2:0.000) bestLoss:1.024
