Text name: ../res/res_MLP_linear_oRate30_var1.0e-06.txt
[0/30000] loss:1.225(fit:1.225+l2:0.000) bestLoss:inf
[600/30000] loss:0.750(fit:0.750+l2:0.000) bestLoss:0.750
[1200/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[1800/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[2400/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[3000/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[3600/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[4200/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[4800/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[5400/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[6000/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.749
[6600/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[7200/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.748
[7800/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.748
[8400/30000] loss:0.749(fit:0.749+l2:0.000) bestLoss:0.748
[9000/30000] loss:0.750(fit:0.750+l2:0.000) bestLoss:0.748
[9600/30000] loss:0.750(fit:0.750+l2:0.000) bestLoss:0.748
[10200/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[10800/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[11400/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[12000/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[12600/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[13200/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[13800/30000] loss:0.748(fit:0.748+l2:0.000) bestLoss:0.748
[14400/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[15000/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[15600/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[16200/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[16800/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[17400/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[18000/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[18600/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[19200/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[19800/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[20400/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[21000/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[21600/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[22200/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[22800/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[23400/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[24000/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[24600/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[25200/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[25800/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[26400/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[27000/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[27600/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[28200/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[28800/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[29400/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[29999/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
[30000/30000] loss:0.747(fit:0.747+l2:0.000) bestLoss:0.747
