Text name: ../res/res_MLP_step_oRate0_var1.0e-06.txt
[0/10000] loss:0.958(fit:0.958+l2:0.000) bestLoss:inf
[200/10000] loss:0.307(fit:0.307+l2:0.000) bestLoss:0.307
[400/10000] loss:0.149(fit:0.149+l2:0.000) bestLoss:0.149
[600/10000] loss:0.066(fit:0.066+l2:0.000) bestLoss:0.066
[800/10000] loss:0.037(fit:0.037+l2:0.000) bestLoss:0.037
[1000/10000] loss:0.027(fit:0.026+l2:0.000) bestLoss:0.027
[1200/10000] loss:0.021(fit:0.020+l2:0.000) bestLoss:0.021
[1400/10000] loss:0.017(fit:0.017+l2:0.000) bestLoss:0.017
[1600/10000] loss:0.014(fit:0.014+l2:0.000) bestLoss:0.014
[1800/10000] loss:0.013(fit:0.012+l2:0.000) bestLoss:0.013
[2000/10000] loss:0.011(fit:0.011+l2:0.000) bestLoss:0.011
[2200/10000] loss:0.010(fit:0.010+l2:0.000) bestLoss:0.010
[2400/10000] loss:0.009(fit:0.009+l2:0.000) bestLoss:0.009
[2600/10000] loss:0.009(fit:0.008+l2:0.000) bestLoss:0.009
[2800/10000] loss:0.008(fit:0.007+l2:0.000) bestLoss:0.008
[3000/10000] loss:0.007(fit:0.007+l2:0.000) bestLoss:0.007
[3200/10000] loss:0.007(fit:0.007+l2:0.000) bestLoss:0.007
[3400/10000] loss:0.007(fit:0.006+l2:0.000) bestLoss:0.007
[3600/10000] loss:0.007(fit:0.006+l2:0.000) bestLoss:0.006
[3800/10000] loss:0.006(fit:0.005+l2:0.000) bestLoss:0.006
[4000/10000] loss:0.005(fit:0.005+l2:0.000) bestLoss:0.005
[4200/10000] loss:0.005(fit:0.005+l2:0.000) bestLoss:0.005
[4400/10000] loss:0.005(fit:0.005+l2:0.000) bestLoss:0.005
[4600/10000] loss:0.005(fit:0.004+l2:0.000) bestLoss:0.005
[4800/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[5000/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[5200/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[5400/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[5600/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[5800/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[6000/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[6200/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[6400/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[6600/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[6800/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[7000/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[7200/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[7400/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[7600/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[7800/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[8000/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[8200/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[8400/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[8600/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[8800/10000] loss:0.004(fit:0.004+l2:0.000) bestLoss:0.004
[9000/10000] loss:0.004(fit:0.003+l2:0.000) bestLoss:0.004
[9200/10000] loss:0.004(fit:0.003+l2:0.000) bestLoss:0.004
[9400/10000] loss:0.004(fit:0.003+l2:0.000) bestLoss:0.004
[9600/10000] loss:0.004(fit:0.003+l2:0.000) bestLoss:0.004
[9800/10000] loss:0.004(fit:0.003+l2:0.000) bestLoss:0.004
[9999/10000] loss:0.004(fit:0.003+l2:0.000) bestLoss:0.004
[10000/10000] loss:0.004(fit:0.003+l2:0.000) bestLoss:0.004
