Text name: ../res/res_mnist_b_err50_basic_cnn.txt
[00/40] [Loss] train:0.862 val:0.622 test:0.622 [Accr] train:67.0% val:81.4% test:81.0% maxVal:81.4% maxTest:81.0%
[01/40] [Loss] train:0.745 val:0.520 test:0.530 [Accr] train:69.1% val:84.7% test:83.2% maxVal:84.7% maxTest:83.2%
[02/40] [Loss] train:0.691 val:0.432 test:0.446 [Accr] train:71.7% val:89.0% test:87.4% maxVal:89.0% maxTest:87.4%
[03/40] [Loss] train:0.663 val:0.429 test:0.441 [Accr] train:71.9% val:88.6% test:87.6% maxVal:89.0% maxTest:87.4%
[04/40] [Loss] train:0.641 val:0.458 test:0.474 [Accr] train:71.7% val:87.0% test:85.5% maxVal:89.0% maxTest:87.4%
[05/40] [Loss] train:0.621 val:0.408 test:0.420 [Accr] train:73.3% val:90.3% test:89.4% maxVal:90.3% maxTest:89.4%
[06/40] [Loss] train:0.608 val:0.386 test:0.399 [Accr] train:73.9% val:90.5% test:89.1% maxVal:90.5% maxTest:89.1%
[07/40] [Loss] train:0.592 val:0.384 test:0.396 [Accr] train:74.5% val:91.3% test:90.5% maxVal:91.3% maxTest:90.5%
[08/40] [Loss] train:0.599 val:0.301 test:0.305 [Accr] train:75.6% val:94.8% test:94.6% maxVal:94.8% maxTest:94.6%
[09/40] [Loss] train:0.574 val:0.394 test:0.402 [Accr] train:74.6% val:90.3% test:89.4% maxVal:94.8% maxTest:94.6%
[10/40] [Loss] train:0.568 val:0.320 test:0.328 [Accr] train:75.8% val:94.0% test:93.2% maxVal:94.8% maxTest:94.6%
[11/40] [Loss] train:0.564 val:0.413 test:0.418 [Accr] train:74.5% val:89.1% test:87.9% maxVal:94.8% maxTest:94.6%
[12/40] [Loss] train:0.556 val:0.304 test:0.312 [Accr] train:76.2% val:94.3% test:94.0% maxVal:94.8% maxTest:94.6%
[13/40] [Loss] train:0.545 val:0.325 test:0.331 [Accr] train:76.2% val:93.9% test:93.2% maxVal:94.8% maxTest:94.6%
[14/40] [Loss] train:0.536 val:0.356 test:0.364 [Accr] train:76.2% val:92.2% test:91.4% maxVal:94.8% maxTest:94.6%
[15/40] [Loss] train:0.531 val:0.362 test:0.369 [Accr] train:76.6% val:92.1% test:91.3% maxVal:94.8% maxTest:94.6%
[16/40] [Loss] train:0.530 val:0.339 test:0.352 [Accr] train:76.4% val:92.7% test:91.7% maxVal:94.8% maxTest:94.6%
[17/40] [Loss] train:0.519 val:0.351 test:0.357 [Accr] train:76.9% val:92.3% test:91.5% maxVal:94.8% maxTest:94.6%
[18/40] [Loss] train:0.515 val:0.376 test:0.386 [Accr] train:76.8% val:90.9% test:89.6% maxVal:94.8% maxTest:94.6%
[19/40] [Loss] train:0.512 val:0.328 test:0.335 [Accr] train:77.2% val:92.9% test:92.2% maxVal:94.8% maxTest:94.6%
[20/40] [Loss] train:0.502 val:0.337 test:0.343 [Accr] train:77.4% val:93.0% test:92.2% maxVal:94.8% maxTest:94.6%
[21/40] [Loss] train:0.501 val:0.334 test:0.340 [Accr] train:77.5% val:93.0% test:92.3% maxVal:94.8% maxTest:94.6%
[22/40] [Loss] train:0.500 val:0.331 test:0.337 [Accr] train:77.5% val:93.1% test:92.4% maxVal:94.8% maxTest:94.6%
[23/40] [Loss] train:0.500 val:0.322 test:0.328 [Accr] train:77.5% val:93.7% test:93.0% maxVal:94.8% maxTest:94.6%
[24/40] [Loss] train:0.498 val:0.347 test:0.353 [Accr] train:77.6% val:92.5% test:91.7% maxVal:94.8% maxTest:94.6%
[25/40] [Loss] train:0.498 val:0.338 test:0.345 [Accr] train:77.6% val:93.0% test:92.2% maxVal:94.8% maxTest:94.6%
[26/40] [Loss] train:0.497 val:0.357 test:0.365 [Accr] train:77.7% val:91.9% test:90.9% maxVal:94.8% maxTest:94.6%
[27/40] [Loss] train:0.496 val:0.337 test:0.345 [Accr] train:77.7% val:92.9% test:92.0% maxVal:94.8% maxTest:94.6%
[28/40] [Loss] train:0.496 val:0.342 test:0.349 [Accr] train:77.7% val:92.8% test:91.9% maxVal:94.8% maxTest:94.6%
[29/40] [Loss] train:0.495 val:0.337 test:0.344 [Accr] train:77.7% val:93.0% test:92.1% maxVal:94.8% maxTest:94.6%
[30/40] [Loss] train:0.495 val:0.340 test:0.347 [Accr] train:77.7% val:92.9% test:92.0% maxVal:94.8% maxTest:94.6%
