Text name: ../res/res_mnist_rp_err50_basic_cnn.txt
[00/40] [Loss] train:1.048 val:0.648 test:0.651 [Accr] train:65.5% val:86.0% test:86.0% maxVal:86.0% maxTest:86.0%
[01/40] [Loss] train:0.887 val:0.525 test:0.530 [Accr] train:68.5% val:90.3% test:89.9% maxVal:90.3% maxTest:89.9%
[02/40] [Loss] train:0.816 val:0.499 test:0.500 [Accr] train:69.3% val:90.1% test:89.6% maxVal:90.3% maxTest:89.9%
[03/40] [Loss] train:0.765 val:0.459 test:0.462 [Accr] train:70.8% val:91.8% test:91.5% maxVal:91.8% maxTest:91.5%
[04/40] [Loss] train:0.739 val:0.436 test:0.438 [Accr] train:71.2% val:92.6% test:92.4% maxVal:92.6% maxTest:92.4%
[05/40] [Loss] train:0.712 val:0.432 test:0.433 [Accr] train:71.8% val:92.8% test:92.5% maxVal:92.8% maxTest:92.5%
[06/40] [Loss] train:0.697 val:0.406 test:0.408 [Accr] train:72.3% val:93.3% test:93.1% maxVal:93.3% maxTest:93.1%
[07/40] [Loss] train:0.679 val:0.395 test:0.396 [Accr] train:72.5% val:93.6% test:93.4% maxVal:93.6% maxTest:93.4%
[08/40] [Loss] train:0.664 val:0.397 test:0.396 [Accr] train:72.8% val:94.0% test:93.8% maxVal:94.0% maxTest:93.8%
[09/40] [Loss] train:0.653 val:0.394 test:0.400 [Accr] train:73.1% val:93.6% test:93.0% maxVal:94.0% maxTest:93.8%
[10/40] [Loss] train:0.640 val:0.400 test:0.401 [Accr] train:73.5% val:93.8% test:93.2% maxVal:94.0% maxTest:93.8%
[11/40] [Loss] train:0.638 val:0.400 test:0.405 [Accr] train:73.2% val:92.9% test:92.1% maxVal:94.0% maxTest:93.8%
[12/40] [Loss] train:0.623 val:0.400 test:0.405 [Accr] train:73.6% val:93.1% test:92.6% maxVal:94.0% maxTest:93.8%
[13/40] [Loss] train:0.616 val:0.360 test:0.366 [Accr] train:74.1% val:94.4% test:94.2% maxVal:94.4% maxTest:94.2%
[14/40] [Loss] train:0.607 val:0.366 test:0.365 [Accr] train:74.1% val:94.9% test:94.6% maxVal:94.9% maxTest:94.6%
[15/40] [Loss] train:0.603 val:0.381 test:0.382 [Accr] train:74.4% val:94.0% test:93.7% maxVal:94.9% maxTest:94.6%
[16/40] [Loss] train:0.600 val:0.373 test:0.374 [Accr] train:74.3% val:93.5% test:93.2% maxVal:94.9% maxTest:94.6%
[17/40] [Loss] train:0.587 val:0.368 test:0.367 [Accr] train:74.8% val:94.2% test:94.1% maxVal:94.9% maxTest:94.6%
[18/40] [Loss] train:0.581 val:0.372 test:0.369 [Accr] train:74.9% val:94.4% test:93.9% maxVal:94.9% maxTest:94.6%
[19/40] [Loss] train:0.573 val:0.369 test:0.369 [Accr] train:75.1% val:94.2% test:94.1% maxVal:94.9% maxTest:94.6%
[20/40] [Loss] train:0.567 val:0.365 test:0.366 [Accr] train:75.3% val:94.8% test:94.4% maxVal:94.9% maxTest:94.6%
[21/40] [Loss] train:0.565 val:0.362 test:0.364 [Accr] train:75.4% val:94.9% test:94.6% maxVal:94.9% maxTest:94.6%
[22/40] [Loss] train:0.565 val:0.364 test:0.365 [Accr] train:75.4% val:94.4% test:94.3% maxVal:94.9% maxTest:94.6%
[23/40] [Loss] train:0.564 val:0.366 test:0.366 [Accr] train:75.4% val:94.6% test:94.4% maxVal:94.9% maxTest:94.6%
[24/40] [Loss] train:0.563 val:0.363 test:0.363 [Accr] train:75.4% val:94.8% test:94.5% maxVal:94.9% maxTest:94.6%
[25/40] [Loss] train:0.563 val:0.360 test:0.360 [Accr] train:75.5% val:94.9% test:94.7% maxVal:94.9% maxTest:94.6%
[26/40] [Loss] train:0.561 val:0.361 test:0.362 [Accr] train:75.4% val:94.8% test:94.6% maxVal:94.9% maxTest:94.6%
[27/40] [Loss] train:0.561 val:0.365 test:0.366 [Accr] train:75.5% val:94.6% test:94.3% maxVal:94.9% maxTest:94.6%
[28/40] [Loss] train:0.560 val:0.361 test:0.361 [Accr] train:75.5% val:94.7% test:94.3% maxVal:94.9% maxTest:94.6%
[29/40] [Loss] train:0.559 val:0.366 test:0.365 [Accr] train:75.5% val:94.5% test:94.3% maxVal:94.9% maxTest:94.6%
[30/40] [Loss] train:0.559 val:0.363 test:0.363 [Accr] train:75.5% val:94.8% test:94.4% maxVal:94.9% maxTest:94.6%
[31/40] [Loss] train:0.558 val:0.362 test:0.362 [Accr] train:75.5% val:94.8% test:94.5% maxVal:94.9% maxTest:94.6%
[32/40] [Loss] train:0.558 val:0.363 test:0.363 [Accr] train:75.5% val:94.7% test:94.5% maxVal:94.9% maxTest:94.6%
[33/40] [Loss] train:0.559 val:0.364 test:0.364 [Accr] train:75.5% val:94.7% test:94.5% maxVal:94.9% maxTest:94.6%
[34/40] [Loss] train:0.559 val:0.362 test:0.362 [Accr] train:75.5% val:94.8% test:94.5% maxVal:94.9% maxTest:94.6%
[35/40] [Loss] train:0.558 val:0.361 test:0.361 [Accr] train:75.6% val:94.7% test:94.5% maxVal:94.9% maxTest:94.6%
[36/40] [Loss] train:0.558 val:0.361 test:0.362 [Accr] train:75.5% val:94.8% test:94.5% maxVal:94.9% maxTest:94.6%
[37/40] [Loss] train:0.558 val:0.361 test:0.361 [Accr] train:75.6% val:94.7% test:94.5% maxVal:94.9% maxTest:94.6%
[38/40] [Loss] train:0.558 val:0.363 test:0.363 [Accr] train:75.5% val:94.8% test:94.5% maxVal:94.9% maxTest:94.6%
[39/40] [Loss] train:0.558 val:0.361 test:0.362 [Accr] train:75.6% val:94.7% test:94.5% maxVal:94.9% maxTest:94.6%
[40/40] [Loss] train:0.558 val:0.362 test:0.363 [Accr] train:75.5% val:94.7% test:94.4% maxVal:94.9% maxTest:94.6%
