Text name: ../res/res_mnist_rs_err50_basic_cnn.txt
[00/40] [Loss] train:1.871 val:0.982 test:0.987 [Accr] train:48.1% val:87.0% test:86.9% maxVal:87.0% maxTest:86.9%
[01/40] [Loss] train:1.814 val:0.896 test:0.897 [Accr] train:50.6% val:91.6% test:91.9% maxVal:91.6% maxTest:91.9%
[02/40] [Loss] train:1.786 val:0.838 test:0.848 [Accr] train:51.7% val:93.7% test:93.5% maxVal:93.7% maxTest:93.5%
[03/40] [Loss] train:1.771 val:0.851 test:0.856 [Accr] train:52.1% val:94.4% test:94.3% maxVal:94.4% maxTest:94.3%
[04/40] [Loss] train:1.756 val:0.790 test:0.799 [Accr] train:52.5% val:95.0% test:94.9% maxVal:95.0% maxTest:94.9%
[05/40] [Loss] train:1.745 val:0.786 test:0.798 [Accr] train:52.8% val:95.8% test:95.5% maxVal:95.8% maxTest:95.5%
[06/40] [Loss] train:1.731 val:0.771 test:0.784 [Accr] train:53.0% val:95.9% test:96.0% maxVal:95.9% maxTest:96.0%
[07/40] [Loss] train:1.722 val:0.758 test:0.774 [Accr] train:53.1% val:96.1% test:96.0% maxVal:96.1% maxTest:96.0%
[08/40] [Loss] train:1.714 val:0.750 test:0.762 [Accr] train:53.3% val:96.3% test:96.4% maxVal:96.3% maxTest:96.4%
[09/40] [Loss] train:1.708 val:0.771 test:0.782 [Accr] train:53.4% val:96.4% test:96.3% maxVal:96.4% maxTest:96.3%
[10/40] [Loss] train:1.698 val:0.743 test:0.756 [Accr] train:53.5% val:96.5% test:96.7% maxVal:96.5% maxTest:96.7%
[11/40] [Loss] train:1.692 val:0.741 test:0.756 [Accr] train:53.6% val:96.8% test:96.7% maxVal:96.8% maxTest:96.7%
[12/40] [Loss] train:1.687 val:0.753 test:0.763 [Accr] train:53.7% val:96.9% test:96.7% maxVal:96.9% maxTest:96.7%
[13/40] [Loss] train:1.679 val:0.704 test:0.722 [Accr] train:53.7% val:97.2% test:96.7% maxVal:97.2% maxTest:96.7%
[14/40] [Loss] train:1.674 val:0.755 test:0.769 [Accr] train:53.8% val:97.1% test:96.8% maxVal:97.2% maxTest:96.7%
[15/40] [Loss] train:1.665 val:0.719 test:0.735 [Accr] train:53.9% val:97.1% test:97.0% maxVal:97.2% maxTest:96.7%
[16/40] [Loss] train:1.660 val:0.725 test:0.737 [Accr] train:53.9% val:97.1% test:96.9% maxVal:97.2% maxTest:96.7%
[17/40] [Loss] train:1.655 val:0.716 test:0.733 [Accr] train:54.0% val:97.3% test:96.9% maxVal:97.3% maxTest:96.9%
[18/40] [Loss] train:1.645 val:0.731 test:0.745 [Accr] train:54.0% val:97.1% test:96.8% maxVal:97.3% maxTest:96.9%
[19/40] [Loss] train:1.640 val:0.733 test:0.748 [Accr] train:54.1% val:97.2% test:96.9% maxVal:97.3% maxTest:96.9%
[20/40] [Loss] train:1.631 val:0.712 test:0.727 [Accr] train:54.2% val:97.4% test:97.0% maxVal:97.4% maxTest:97.0%
[21/40] [Loss] train:1.629 val:0.704 test:0.719 [Accr] train:54.2% val:97.2% test:97.1% maxVal:97.4% maxTest:97.0%
[22/40] [Loss] train:1.628 val:0.704 test:0.720 [Accr] train:54.2% val:97.3% test:97.1% maxVal:97.4% maxTest:97.0%
[23/40] [Loss] train:1.627 val:0.708 test:0.723 [Accr] train:54.2% val:97.3% test:97.1% maxVal:97.4% maxTest:97.0%
[24/40] [Loss] train:1.626 val:0.703 test:0.719 [Accr] train:54.2% val:97.2% test:97.1% maxVal:97.4% maxTest:97.0%
[25/40] [Loss] train:1.626 val:0.706 test:0.720 [Accr] train:54.2% val:97.3% test:97.1% maxVal:97.4% maxTest:97.0%
[26/40] [Loss] train:1.625 val:0.708 test:0.723 [Accr] train:54.2% val:97.2% test:97.1% maxVal:97.4% maxTest:97.0%
[27/40] [Loss] train:1.624 val:0.704 test:0.719 [Accr] train:54.2% val:97.3% test:97.0% maxVal:97.4% maxTest:97.0%
[28/40] [Loss] train:1.623 val:0.709 test:0.724 [Accr] train:54.2% val:97.3% test:97.1% maxVal:97.4% maxTest:97.0%
[29/40] [Loss] train:1.622 val:0.708 test:0.723 [Accr] train:54.2% val:97.2% test:97.1% maxVal:97.4% maxTest:97.0%
[30/40] [Loss] train:1.622 val:0.706 test:0.721 [Accr] train:54.2% val:97.3% test:97.1% maxVal:97.4% maxTest:97.0%
[31/40] [Loss] train:1.621 val:0.706 test:0.721 [Accr] train:54.2% val:97.3% test:97.0% maxVal:97.4% maxTest:97.0%
[32/40] [Loss] train:1.622 val:0.707 test:0.723 [Accr] train:54.2% val:97.2% test:97.0% maxVal:97.4% maxTest:97.0%
[33/40] [Loss] train:1.622 val:0.707 test:0.722 [Accr] train:54.2% val:97.4% test:97.0% maxVal:97.4% maxTest:97.0%
[34/40] [Loss] train:1.621 val:0.707 test:0.723 [Accr] train:54.2% val:97.4% test:97.0% maxVal:97.4% maxTest:97.0%
[35/40] [Loss] train:1.621 val:0.708 test:0.723 [Accr] train:54.2% val:97.3% test:97.0% maxVal:97.4% maxTest:97.0%
[36/40] [Loss] train:1.621 val:0.706 test:0.721 [Accr] train:54.2% val:97.4% test:97.0% maxVal:97.4% maxTest:97.0%
[37/40] [Loss] train:1.622 val:0.708 test:0.723 [Accr] train:54.2% val:97.2% test:97.0% maxVal:97.4% maxTest:97.0%
