Text name: ../res/res_mnist_rs_err95_basic_choiceNet.txt
[00/50] [Loss] train:0.059(f:-0.105+r:0.047+k:0.001+l:0.116) val:0.011 test:0.002 [Accr] train:12.0% val:36.5% test:38.9% maxVal:36.5% maxTest:38.9%
[01/50] [Loss] train:0.056(f:-0.107+r:0.047+k:0.001+l:0.115) val:-0.042 test:-0.048 [Accr] train:13.0% val:54.8% test:56.7% maxVal:54.8% maxTest:56.7%
[02/50] [Loss] train:0.053(f:-0.110+r:0.046+k:0.001+l:0.115) val:-0.073 test:-0.083 [Accr] train:13.6% val:67.1% test:69.2% maxVal:67.1% maxTest:69.2%
[03/50] [Loss] train:0.050(f:-0.111+r:0.045+k:0.001+l:0.115) val:-0.096 test:-0.108 [Accr] train:13.8% val:71.2% test:73.0% maxVal:71.2% maxTest:73.0%
[04/50] [Loss] train:0.048(f:-0.113+r:0.045+k:0.001+l:0.115) val:-0.108 test:-0.120 [Accr] train:14.0% val:75.0% test:75.8% maxVal:75.0% maxTest:75.8%
[05/50] [Loss] train:0.046(f:-0.114+r:0.044+k:0.001+l:0.115) val:-0.124 test:-0.136 [Accr] train:14.2% val:76.3% test:78.0% maxVal:76.3% maxTest:78.0%
[06/50] [Loss] train:0.044(f:-0.114+r:0.042+k:0.001+l:0.115) val:-0.131 test:-0.142 [Accr] train:14.4% val:78.6% test:79.9% maxVal:78.6% maxTest:79.9%
[07/50] [Loss] train:0.041(f:-0.116+r:0.041+k:0.001+l:0.115) val:-0.140 test:-0.152 [Accr] train:14.4% val:80.5% test:80.9% maxVal:80.5% maxTest:80.9%
[08/50] [Loss] train:0.039(f:-0.116+r:0.039+k:0.001+l:0.114) val:-0.140 test:-0.151 [Accr] train:14.5% val:82.3% test:82.2% maxVal:82.3% maxTest:82.2%
[09/50] [Loss] train:0.037(f:-0.117+r:0.039+k:0.001+l:0.114) val:-0.156 test:-0.165 [Accr] train:14.6% val:82.9% test:82.5% maxVal:82.9% maxTest:82.5%
[10/50] [Loss] train:0.035(f:-0.117+r:0.037+k:0.001+l:0.114) val:-0.149 test:-0.158 [Accr] train:14.7% val:83.0% test:82.9% maxVal:83.0% maxTest:82.9%
[11/50] [Loss] train:0.033(f:-0.118+r:0.036+k:0.001+l:0.114) val:-0.149 test:-0.160 [Accr] train:14.7% val:82.8% test:82.9% maxVal:83.0% maxTest:82.9%
[12/50] [Loss] train:0.032(f:-0.118+r:0.035+k:0.001+l:0.114) val:-0.147 test:-0.158 [Accr] train:14.8% val:83.6% test:84.1% maxVal:83.6% maxTest:84.1%
[13/50] [Loss] train:0.029(f:-0.119+r:0.033+k:0.001+l:0.114) val:-0.155 test:-0.167 [Accr] train:14.9% val:84.4% test:83.8% maxVal:84.4% maxTest:83.8%
[14/50] [Loss] train:0.027(f:-0.119+r:0.032+k:0.001+l:0.113) val:-0.158 test:-0.164 [Accr] train:14.9% val:84.1% test:83.5% maxVal:84.4% maxTest:83.8%
[15/50] [Loss] train:0.026(f:-0.120+r:0.031+k:0.001+l:0.113) val:-0.157 test:-0.162 [Accr] train:15.0% val:83.5% test:83.5% maxVal:84.4% maxTest:83.8%
[16/50] [Loss] train:0.024(f:-0.120+r:0.030+k:0.001+l:0.113) val:-0.159 test:-0.166 [Accr] train:15.1% val:84.0% test:84.0% maxVal:84.4% maxTest:83.8%
