Text name: ../res/res_oRate60_noise1.0e-02_tauInv2.txt
[0/30000] loss:0.755(gmm:0.755+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.680(gmm:0.680+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.673(gmm:0.673+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.661(gmm:0.661+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.651(gmm:0.651+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.642(gmm:0.642+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.644(gmm:0.644+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.649(gmm:0.649+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.641(gmm:0.641+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.644(gmm:0.643+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.640(gmm:0.640+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.639(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.635(gmm:0.635+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.645(gmm:0.645+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.643(gmm:0.642+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.644(gmm:0.644+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.642(gmm:0.642+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.640(gmm:0.640+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.641(gmm:0.640+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.634(gmm:0.634+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.634(gmm:0.634+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.635(gmm:0.635+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.633(gmm:0.633+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.635(gmm:0.635+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.638(gmm:0.638+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.632(gmm:0.632+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.635
[15600/30000] loss:0.630(gmm:0.630+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.630
[16200/30000] loss:0.632(gmm:0.631+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.629
[16800/30000] loss:0.628(gmm:0.628+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.629
[17400/30000] loss:0.631(gmm:0.631+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[18000/30000] loss:0.628(gmm:0.628+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[18600/30000] loss:0.626(gmm:0.625+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[19200/30000] loss:0.628(gmm:0.628+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[19800/30000] loss:0.627(gmm:0.627+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[20400/30000] loss:0.628(gmm:0.628+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[21000/30000] loss:0.633(gmm:0.633+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[21600/30000] loss:0.629(gmm:0.629+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[22200/30000] loss:0.632(gmm:0.632+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[22800/30000] loss:0.629(gmm:0.629+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[23400/30000] loss:0.625(gmm:0.625+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[24000/30000] loss:0.624(gmm:0.624+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.625
[24600/30000] loss:0.629(gmm:0.629+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[25200/30000] loss:0.632(gmm:0.632+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[25800/30000] loss:0.628(gmm:0.628+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[26400/30000] loss:0.631(gmm:0.631+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[27000/30000] loss:0.628(gmm:0.627+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[27600/30000] loss:0.627(gmm:0.627+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[28200/30000] loss:0.627(gmm:0.627+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[28800/30000] loss:0.633(gmm:0.633+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[29400/30000] loss:0.626(gmm:0.626+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[29999/30000] loss:0.625(gmm:0.625+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
[30000/30000] loss:0.625(gmm:0.625+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.623
