Text name: ../res/res_oRate60_noise5.0e-02_tauInv1e-02.txt
[0/30000] loss:0.811(gmm:0.811+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:0.538(gmm:0.538+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.549(gmm:0.549+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:0.485(gmm:0.485+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:0.504(gmm:0.504+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:0.459(gmm:0.459+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:0.428(gmm:0.428+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:0.448(gmm:0.448+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:0.427(gmm:0.426+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:0.442(gmm:0.441+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:0.437(gmm:0.437+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:0.451(gmm:0.450+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:0.436(gmm:0.435+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:0.457(gmm:0.457+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:0.432(gmm:0.432+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:0.433(gmm:0.433+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:0.421(gmm:0.421+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:0.417(gmm:0.416+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:0.428(gmm:0.427+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:0.400(gmm:0.400+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:0.397(gmm:0.397+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:0.408(gmm:0.408+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:0.391(gmm:0.391+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:0.406(gmm:0.406+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:0.400(gmm:0.400+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:0.372(gmm:0.372+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.384
[15600/30000] loss:0.369(gmm:0.368+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.367
[16200/30000] loss:0.374(gmm:0.373+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.361
[16800/30000] loss:0.372(gmm:0.372+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.361
[17400/30000] loss:0.386(gmm:0.386+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.361
[18000/30000] loss:0.355(gmm:0.355+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[18600/30000] loss:0.368(gmm:0.367+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[19200/30000] loss:0.372(gmm:0.372+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[19800/30000] loss:0.387(gmm:0.387+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[20400/30000] loss:0.378(gmm:0.378+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[21000/30000] loss:0.361(gmm:0.361+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[21600/30000] loss:0.367(gmm:0.367+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[22200/30000] loss:0.360(gmm:0.360+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[22800/30000] loss:0.365(gmm:0.365+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[23400/30000] loss:0.362(gmm:0.362+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[24000/30000] loss:0.348(gmm:0.348+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.352
[24600/30000] loss:0.375(gmm:0.375+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.351
[25200/30000] loss:0.377(gmm:0.377+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.351
[25800/30000] loss:0.365(gmm:0.365+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[26400/30000] loss:0.373(gmm:0.373+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[27000/30000] loss:0.355(gmm:0.355+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[27600/30000] loss:0.381(gmm:0.381+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[28200/30000] loss:0.372(gmm:0.372+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[28800/30000] loss:0.360(gmm:0.360+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[29400/30000] loss:0.368(gmm:0.368+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[29999/30000] loss:0.370(gmm:0.370+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
[30000/30000] loss:0.392(gmm:0.391+kl:0.000+l2:0.000+fit:0.000) bestLoss:0.349
